tag,title
B,B
BSD,Broadway Shuttle Day
BSN,Broadway Shuttle Night
C,C
CB,CB
E,E
F,F
FS,FS
G,G
H,H
J,J
L,L
LA,LA
LC,LC
M,M
NL,NL
NX,NX
NXC,NXC
NX1,NX1
NX2,NX2
NX3,NX3
NX4,NX4
O,O
OX,OX
P,P
S,S
SB,SB
U,U
V,V
W,W
Z,Z
1,1
6,6
7,7
10,10
12,12
14,14
18,18
19,19 Downtown Oakland - Fruitvale Bart
20,20
21,21
22,22
29,29 Emeryville/West Oakland Bart/Lakeshore
32,32
33,33 Montclair\ Highland
36,36 West Oakland Bart/ Bancroft/Berkeley
37,37
39,39
40,40
45,45
46,46
46L,46L
47,47
48,48
51A,51A
51B,51B
52,52
54,54
57,57
60,60
62,62
65,65
67,67
70,70
71,71
72,72
72M,72M
72R,72R
73,73
74,74
75,75
76,76
79,79 Rockridge/Berkeley/El Cerrito Bart
80,80 Claremont/El Cerrito Bart
81,81 Claremont/Berkeley/Amtrak/Berk.Marina
83,83
85,85
86,86
88,88
89,89
90,90
93,93
94,94
95,95
96,96 Fruitvale Montana/ Alameda Point
97,97
98,98
99,99
200,200
210,210
212,212
215,215
216,216
217,217
232,232
239,239
251,251
314,314
339,339
356,356
376,376
386,386
604,604
605,605
606,606
607,607
611,611 Diamond Dist./ Westlake M.S./ Piedmont
617,617 Seminary Ave/ Skyline H.S.
620,620
621,621
623,623
624,624
625,625
626,626
628,628
629,629
631,631
638,638
642,642
646,646
648,648
649,649
650,650
652,652
653,653
654,654
655,655
657,657
658,658
660,660
662,662
663,663
667,667
668,668
669,669
671,671
672,672
675,675
676,676
677,677
679,679
680,680
681,681
682,682
684,684
687,687
688,688
696,696
800,800
801,801
802,802
805,805
840,840
851,851
